Organisation Name,Award offered,Discipline,Applicant ACE Area,Region (ONS),Local Authority Name,Constituency
Magna Vitae,249500.00,Combined arts,Midlands,East Midlands,East Lindsey,Louth and Horncastle
Malvern Theatres,971251.00,Theatre,Midlands,West Midlands,Malvern Hills,West Worcestershire
Manchester Camerata Limited,229000.00,Music,North,North West,Manchester,Manchester Central
Manchester City Galleries,780022.00,Not discipline specific,North,North West,Manchester,Manchester Central
Manchester Collective,156174.00,Music,North,North West,Manchester,Manchester Central
Manchester Craft And Design,80030.00,Visual arts,North,North West,Manchester,Manchester Central
Manchester Jazz Festival,64968.00,Music,North,North West,Manchester,Manchester Central
Manchester Literature Festival,54000.00,Literature,North,North West,Manchester,Manchester Central
Manchester Museum,240580.00,Museums,North,North West,Manchester,Manchester Central
Manchester Young People's Theatre trading as Contact,193720.00,Theatre,North,North West,Manchester,Manchester Central
Mandylights UK Ltd,82068.00,Not discipline specific,North,North East,Gateshead,Blaydon
Mansfield District Council,123982.00,Combined arts,Midlands,East Midlands,Mansfield,Mansfield
Marlborough Theatre Productions Ltd,62000.00,Theatre,South East,South East,Brighton and Hove,"Brighton, Kemptown"
Marquee Entec Limited t/a Entec Sound and Light,350000.00,Not discipline specific,London,London,Ealing,Ealing North
Marsm,50000.00,Music,London,London,Islington,Islington South and Finsbury
Matchstick Theatre Ltd,80493.00,Music,London,London,Lewisham,"Lewisham, Deptford"
Matt and Phreds Mcr Ltd,125000.00,Music,North,North West,Manchester,Manchester Central
Maximum Boost Management Ltd,105090.00,Music,London,London,Hackney,Hackney South and Shoreditch
MBC Arts Wellbeing,112000.00,Visual arts,North,North East,Sunderland,Sunderland Central
Mckeown Events Ltd,185289.00,Music,South East,South East,Brighton and Hove,"Brighton, Pavilion"
MCPG Ltd,70000.00,Theatre,South East,South East,Surrey Heath,Surrey Heath
MDM Props Limited,247784.00,Visual arts,London,London,Greenwich,Greenwich and Woolwich
Mediashare Ltd,241000.00,Not discipline specific,South East,South East,Dartford,Dartford
Meraki Liverpool,56836.00,Music,North,North West,Liverpool,"Liverpool, Riverside"
Mercurial Arts Limited,64548.00,Combined arts,Midlands,West Midlands,Coventry,Coventry North West
Meriden Bars,73517.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Merseyside Dance Initiative,80000.00,Dance,North,North West,Liverpool,"Liverpool, Riverside"
Merseyside Youth Association,97524.00,Combined arts,North,North West,Liverpool,"Liverpool, Riverside"
Metropolis Music Limited,231942.00,Music,London,London,Westminster,Cities of London and Westminster
MFR Ltd,106118.00,Music,London,London,Southwark,Bermondsey and Old Southwark
Mi Soul Radio,114372.00,Music,London,London,Lewisham,"Lewisham, Deptford"
Mi Viejo Fruta Ltd,67000.00,Music,North,North East,Newcastle upon Tyne,Newcastle upon Tyne East
Mick Perrin Worldwide Ltd,200000.00,Theatre,South East,South East,Brighton and Hove,"Brighton, Kemptown"
Mid Pennine Arts,70205.00,Combined arts,North,North West,Burnley,Burnley
Middle Child,98003.00,Theatre,North,Yorkshire and The Humber,"Kingston upon Hull, City of",Kingston upon Hull West and Hessle
Middlesbrough Town Hall,200997.00,Music,North,North East,Middlesbrough,Middlesbrough
Midlands Arts Centre,680668.00,Visual arts,Midlands,West Midlands,Birmingham,"Birmingham, Hall Green"
Midnight Mango Ltd,66752.00,Music,South West,South West,Sedgemoor,Bridgwater and West Somerset
Milton Keynes Museum Trust Ltd,100000.00,Museums,South East,South East,Milton Keynes,Milton Keynes North
Mimosa House,78093.00,Visual arts,London,London,Westminster,Cities of London and Westminster
Mind the Gap,150000.00,Theatre,North,Yorkshire and The Humber,Bradford,Bradford West
Ministry of Sound,975468.00,Music,London,London,Southwark,Bermondsey and Old Southwark
MINT WAREHOUSE LTD,166738.00,Music,North,Yorkshire and The Humber,Leeds,Leeds East
Miracle Theatre Trust Ltd,71700.00,Theatre,South West,South West,Cornwall,Camborne and Redruth
Mission Mars,1000000.00,Not discipline specific,North,North West,Manchester,Manchester Central
Mitchell Memorial Youth Arts,78000.00,Combined arts,Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent Central
MK Gallery,250000.00,Visual arts,South East,South East,Milton Keynes,Milton Keynes North
Modern Art Oxford,91000.00,Visual arts,South East,South East,Oxford,Oxford East
Mole Valley District Council,200000.00,Combined arts,South East,South East,Mole Valley,Mole Valley
Molly Limpet's Ltd,120000.00,Theatre,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Mortal Fools,140000.00,Theatre,North,North East,Northumberland,Hexham
Mothership Brighton Ltd,143076.00,Music,London,London,Islington,Islington South and Finsbury
Mothership Hoxton Ltd,275458.00,Music,London,London,Islington,Islington South and Finsbury
Motion Events LTD,884796.00,Music,South West,South West,"Bristol, City of",Bristol West
MÓTUS,50606.00,Dance,South East,South East,Milton Keynes,Milton Keynes North
Much Laughter,50000.00,Theatre,South East,South East,Medway,Rochester and Strood
Museum of Cornish Life,56306.00,Museums,South West,South West,Cornwall,St Ives
Museum of East Anglian Life,91000.00,Museums,South East,East of England,Mid Suffolk,Bury St Edmunds
Museum of English Rural Life,74248.00,Museums,South East,South East,Reading,Reading East
Museum of North Craven Life,160000.00,Museums,North,Yorkshire and The Humber,Craven,Skipton and Ripon
"Museum of Oxford, Oxford City Council",80731.00,Museums,South East,South East,Oxford,Oxford East
Museum of Royal Worcester,107275.00,Museums,Midlands,West Midlands,Worcester,Worcester
Museum of the Order of St John,77760.00,Museums,London,London,Islington,Islington South and Finsbury
Museums Worcestershire,96454.00,Museums,Midlands,West Midlands,Worcester,Worcester
Music Beyond Mainstream,137016.00,Music,South West,South East,Basingstoke and Deane,Basingstoke
Music Halls,52940.00,Music,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Music In Devon Initiative CIC,50694.00,Music,South West,South West,Exeter,Exeter
Music Room Solutions Ltd,123272.00,Music,London,London,Lewisham,"Lewisham, Deptford"
Music Venues Limited,623000.00,Music,London,London,Lambeth,Streatham
Musicity Global,60000.00,Music,London,London,Southwark,Bermondsey and Old Southwark
My Runway Group,60708.00,Combined arts,Midlands,West Midlands,Coventry,Coventry North East
NASS FESTIVAL LIMITED,585000.00,Combined arts,London,London,Camden,Holborn and St Pancras
National Association for Gallery Education (engage),50000.00,Visual arts,London,London,Tower Hamlets,Bethnal Green and Bow
National Football Museum,515965.00,Museums,North,North West,Manchester,Manchester Central
National Horseracing Museum,154481.00,Museums,South East,East of England,West Suffolk,West Suffolk
National Justice Museum,220000.00,Museums,Midlands,East Midlands,Nottingham,Nottingham South
National Maritime Museum Cornwall Trust,485000.00,Museums,South West,South West,Cornwall,Truro and Falmouth
National Student Drama Festival,60000.00,Theatre,London,London,Southwark,Bermondsey and Old Southwark
National Videogame Museum,400000.00,Museums,North,Yorkshire and The Humber,Sheffield,Sheffield Central
National Youth Choirs of Great Britain,170000.00,Music,North,North East,County Durham,City of Durham
National Youth Orchestra of Great Britain,250000.00,Music,London,London,Camden,Holborn and St Pancras
National Youth Theatre of Great Britain,497385.00,Theatre,London,London,Islington,Islington North
NAVentures Limited,166111.00,Combined arts,North,North West,Manchester,"Manchester, Withington"
Neil Laidlaw Productions Ltd,51580.00,Theatre,London,London,Camden,Holborn and St Pancras
Neil O'Brien Entertainment,130000.00,Music,London,London,Westminster,Cities of London and Westminster
Never Such Innocence,75000.00,Literature,London,London,Westminster,Cities of London and Westminster
Nevill Holt Opera,85000.00,Music,Midlands,East Midlands,Harborough,Rutland and Melton
New Continental LLP,398933.00,Music,North,North West,Preston,Preston
New Cross Inn,225000.00,Music,London,London,Lewisham,"Lewisham, Deptford"
New Diorama,210000.00,Theatre,London,London,Camden,Holborn and St Pancras
New Future Collective,107951.00,Theatre,London,London,Hackney,Hackney South and Shoreditch
New International Encounter,52468.00,Theatre,South East,East of England,Cambridge,Cambridge
New Roadmender,88162.00,Music,Midlands,East Midlands,Northampton,Northampton South
New Theatre Royal Lincoln,600000.00,Theatre,Midlands,East Midlands,Lincoln,Lincoln
New Vortex Jazz Club,130295.00,Music,London,London,Hackney,Hackney North and Stoke Newington
New Wolsey Theatre Company Ltd,245000.00,Theatre,South East,East of England,Ipswich,Ipswich
Newhampton Arts Centre,95151.00,Combined arts,Midlands,West Midlands,Wolverhampton,Wolverhampton South West
Next Generation Youth Theatre,57377.00,Theatre,South East,East of England,Central Bedfordshire,South West Bedfordshire
Next Stage Theatre Company Ltd.,51499.00,Theatre,South West,South West,Bath and North East Somerset,Bath
Nice Neighbourhood,80000.00,Not discipline specific,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Nichu Ltd - David Hughes,146684.00,Music,South East,East of England,Chelmsford,Chelmsford
Nick Whitehead,50000.00,Combined arts,Midlands,East Midlands,Derbyshire Dales,Derbyshire Dales
Nightingale UK Ltd,265000.00,Combined arts,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Nightrain Entertainment Ltd,143255.00,Music,North,Yorkshire and The Humber,Bradford,Bradford West
Artemis Studios,50000.00,Theatre,South East,South East,Windsor and Maidenhead,Windsor
NK Theatre Arts,80004.00,Theatre,North,North West,Stockport,Hazel Grove
NMC Recordings Ltd.,77506.00,Music,London,London,Tower Hamlets,Bethnal Green and Bow
NN Contemporary Art,70000.00,Visual arts,Midlands,East Midlands,Northampton,Northampton South
Noisily Festival,156183.00,Combined arts,London,London,Westminster,Westminster North
Nonsuch Theatre,211838.00,Theatre,Midlands,East Midlands,Nottingham,Nottingham South
NORCA & Sistema in Norwich,125000.00,Combined arts,South East,East of England,Norwich,Norwich South
Norden Farm Centre for the Arts Trust,351000.00,Combined arts,South East,South East,Windsor and Maidenhead,Maidenhead
Norfolk Museums Service,456887.00,Museums,South East,East of England,Norwich,Norwich South
North Devon Council,58330.00,Museums,South West,South West,North Devon,North Devon
North Devon Theatres,553086.00,Theatre,South West,South West,North Devon,North Devon
North East Theatre Trust Ltd,429768.00,Theatre,North,North East,Newcastle upon Tyne,Newcastle upon Tyne East
Northampton Labour Club t/a The Lab,54615.00,Music,Midlands,East Midlands,Northampton,Northampton South
Northern Academy of Performing Arts Educational Trust,78029.00,Theatre,North,Yorkshire and The Humber,"Kingston upon Hull, City of",Kingston upon Hull West and Hessle
Northern Ballet Limited,744798.00,Dance,North,Yorkshire and The Humber,Leeds,Leeds Central
Northern Guitars Cafe Bar Limited,55171.00,Music,North,Yorkshire and The Humber,Leeds,Leeds Central
Northern Hospitality MCR Ltd,131223.00,Music,North,North West,Manchester,Manchester Central
Northern Lights Drama,52897.00,Theatre,North,Yorkshire and The Humber,East Riding of Yorkshire,Kingston upon Hull West and Hessle
Northern Stage (Theatrical Productions) Ltd,393559.00,Theatre,North,North East,Newcastle upon Tyne,Newcastle upon Tyne Central
Norwich Arts Centre,72250.00,Combined arts,South East,East of England,Norwich,Norwich South
Norwich Puppet Theatre,84750.00,Theatre,South East,East of England,Norwich,Norwich South
Nottingham Arts Theatre Ltd,50000.00,Combined arts,Midlands,East Midlands,Nottingham,Nottingham South
Nottingham Contemporary,220000.00,Visual arts,Midlands,East Midlands,Nottingham,Nottingham South
Nottingham Media Centre Ltd,419015.00,Film,Midlands,East Midlands,Nottingham,Nottingham South
Nottingham Music Service,120000.00,Music,Midlands,East Midlands,Nottingham,Nottingham South
Nottingham Playhouse,789011.00,Theatre,Midlands,East Midlands,Nottingham,Nottingham South
Nozstock Festival,70000.00,Music,Midlands,West Midlands,"Herefordshire, County of",North Herefordshire
Nubsound Ltd,74762.00,Not discipline specific,South West,South West,Cornwall,North Cornwall
Numbi Arts CIC,50000.00,Combined arts,London,London,Tower Hamlets,Bethnal Green and Bow
Oake Entertainment,145927.00,Music,London,London,Hackney,Hackney South and Shoreditch
Oblique Arts,51000.00,Visual arts,South East,East of England,Cambridge,Cambridge
Ocean Room,149686.00,Music,South East,East of England,Great Yarmouth,Great Yarmouth
Off The Cuff,100000.00,Music,London,London,Lambeth,Dulwich and West Norwood
Off The UK,69610.00,Music,North,North West,Manchester,Manchester Central
Offshoots (East Midlands) C.I.C.,62800.00,Combined arts,Midlands,East Midlands,Broxtowe,Broxtowe
Old Operating Theatre Museum and Herb Garret,99383.00,Museums,London,London,Southwark,Bermondsey and Old Southwark
Old Red Lion Theatre,130000.00,Theatre,London,London,Islington,Islington South and Finsbury
Old Town Sounds Ltd,161583.00,Music,South West,South West,Swindon,South Swindon
Oldham Coliseum Theatre,243342.00,Theatre,North,North West,Oldham,Oldham East and Saddleworth
Omnibus,172549.00,Theatre,London,London,Lambeth,Vauxhall
One House Artists,169845.00,Music,London,London,Hackney,Hackney South and Shoreditch
One Miah Group,78854.00,Music,London,London,Tower Hamlets,Poplar and Limehouse
Only Helix,89625.00,Not discipline specific,London,London,Westminster,Cities of London and Westminster
Onpoint Distribution Ltd,50000.00,Combined arts,Midlands,East Midlands,Nottingham,Nottingham South
onsongmusic ltd,51000.00,Music,South West,South West,Stroud,Stroud
Openwide Coastal,250000.00,Theatre,South East,East of England,North Norfolk,North Norfolk
Opera Brava,58400.00,Combined arts,South East,South East,Mid Sussex,Mid Sussex
Optimum Mastering,50000.00,Music,South West,South West,"Bristol, City of",Bristol East
Orange Tree,770538.00,Theatre,London,London,Richmond upon Thames,Richmond Park
Orchard Theatre Dartford Ltd,244576.00,Theatre,South East,South East,Dartford,Dartford
Orchestra of the Age of Enlightenment,75000.00,Music,London,London,Islington,Islington South and Finsbury
Orchestra of the Swan,130000.00,Music,Midlands,West Midlands,Stratford-on-Avon,Stratford-on-Avon
Orchestras Live,92846.00,Music,North,Yorkshire and The Humber,Leeds,Leeds Central
ORIGINS SOUND LTD,74226.00,Music,London,London,Greenwich,Greenwich and Woolwich
Ormside Projects,97695.00,Music,London,London,Southwark,Camberwell and Peckham
Orpheus Sinfonia,69966.00,Music,London,London,Westminster,Cities of London and Westminster
OTO Projects CIC,90000.00,Music,London,London,Hackney,Hackney North and Stoke Newington
Oundle Music Trust,58823.00,Music,Midlands,East Midlands,East Northamptonshire,Corby
Out Loud Music CIC,72132.00,Music,South East,East of England,Ipswich,Ipswich
Out Of Nowhere Limited,250000.00,Music,London,London,Hackney,Hackney South and Shoreditch
Outpost Media Ltd,61398.00,Music,London,London,Hackney,Hackney South and Shoreditch
Ovation Theatres Limited,56242.00,Theatre,London,London,Haringey,Hornsey and Wood Green
Oxford Chamber Music Foundation,50000.00,Music,South East,South East,West Oxfordshire,Witney
Oxford Playhouse Trust,458026.00,Theatre,South East,South East,Oxford,Oxford East
Oxfordshire Science Festival,74929.00,Combined arts,South East,South East,Oxford,Oxford East
Pacific Sound&Light Ltd,140000.00,Not discipline specific,Midlands,West Midlands,Walsall,Aldridge-Brownhills
Paddy Hocken Productions Limited,82667.00,Music,London,London,Kensington and Chelsea,Kensington
Palace Theatre Watford Limited,248481.00,Theatre,South East,East of England,Watford,Watford
Paper Dress Vintage,194369.00,Music,London,London,Hackney,Hackney South and Shoreditch
Para Dance UK,55000.00,Dance,South East,East of England,Watford,Watford
Parabolic Theatre,51850.00,Theatre,London,London,Croydon,Croydon North
Paradigm Agency Ltd,967679.00,Not discipline specific,London,London,Hackney,Hackney South and Shoreditch
Parallel Lines Promotions Ltd,50000.00,Music,London,London,Tower Hamlets,Bethnal Green and Bow
Parish Bars LTD,216713.00,Music,North,Yorkshire and The Humber,Kirklees,Huddersfield
Park Crescent Conference Centre Ltd,471680.00,Music,London,London,Westminster,Cities of London and Westminster
Park Theatre,250000.00,Theatre,London,London,Islington,Islington North
Parr Street Studios,63000.00,Music,North,North West,Liverpool,"Liverpool, Riverside"
Partisan Collective,53594.00,Combined arts,North,North West,Manchester,Blackley and Broughton
PASCAL THEATRE COMPANY,84000.00,Theatre,London,London,Camden,Holborn and St Pancras
Paul Holman Associates Ltd,125000.00,Theatre,London,London,Hillingdon,Uxbridge and South Ruislip
Pavilion Theatre,71700.00,Theatre,South East,East of England,Great Yarmouth,Great Yarmouth
Peak District Mines Historical Society,50000.00,Museums,Midlands,East Midlands,Derbyshire Dales,Derbyshire Dales
Peckham Levels Limited,131998.00,Combined arts,London,London,Lambeth,Dulwich and West Norwood
Peggy's Skylight,179222.00,Music,Midlands,East Midlands,Nottingham,Nottingham South
Pen Museum,67500.00,Museums,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Pendle Leisure Ltd,185543.00,Combined arts,North,North West,Pendle,Pendle
Pep Circus Productions Limited,50000.00,Theatre,Midlands,East Midlands,South Kesteven,Sleaford and North Hykeham
Pestival CIC,71064.00,Combined arts,London,London,Camden,Holborn and St Pancras
Peterborough New Theatre,639277.00,Theatre,South East,East of England,Peterborough,Peterborough
Peterborough Sings!,50000.00,Music,South East,East of England,Peterborough,Peterborough
Petersfield Museum Limited,67500.00,Museums,South West,South East,East Hampshire,East Hampshire
Petherton Arts Trust,51476.00,Music,South West,South West,South Somerset,Yeovil
Phase One Liverpool,69582.00,Music,North,North West,Liverpool,"Liverpool, Riverside"
Philharmonia Limited,967413.00,Music,London,London,Southwark,Bermondsey and Old Southwark
Phoenix Cultural Centre,135330.00,Music,South East,South East,Woking,Woking
Photo London Limited,200000.00,Visual arts,London,London,Westminster,Cities of London and Westminster
Photoworks,50000.00,Visual arts,South East,South East,Brighton and Hove,"Brighton, Kemptown"
Pinders Circus Limited,50000.00,Theatre,Midlands,East Midlands,Rutland,Rutland and Melton
Pink Lane Jazz Coop Ltd,80000.00,Music,North,North East,Newcastle upon Tyne,Newcastle upon Tyne East
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,495625.00,Theatre,London,London,Newham,West Ham
Piper Event Services Limited,50000.00,Not discipline specific,Midlands,West Midlands,"Herefordshire, County of",Hereford and South Herefordshire
Pishter Ltd,89495.00,Music,London,London,Waltham Forest,Walthamstow
PKUK Ltd,85000.00,Not discipline specific,South West,South East,Portsmouth,Portsmouth North
Plain View Production Ltd,85000.00,Music,North,North West,Wigan,Bolton West
Planet Circus Equipment Limited,90000.00,Theatre,Midlands,East Midlands,South Kesteven,Sleaford and North Hykeham
Play to the Crowd,219134.00,Combined arts,South West,South East,Winchester,Winchester
Pleasance Theatre Trust,249352.00,Theatre,London,London,Islington,Islington South and Finsbury
Plymouth Pavilions Ltd,726569.00,Theatre,South West,South West,Plymouth,"Plymouth, Sutton and Devonport"
Pocklington Arts Centre,130209.00,Combined arts,North,Yorkshire and The Humber,East Riding of Yorkshire,East Yorkshire
Poet in the City,66711.00,Literature,London,London,Islington,Islington South and Finsbury
Poetry London,50052.00,Literature,London,London,Lewisham,"Lewisham, Deptford"
Poodle Club,52652.00,Theatre,London,London,Lewisham,Lewisham West and Penge
Poole Arts Trust Ltd,987964.00,Combined arts,South West,South West,"Bournemouth, Christchurch and Poole",Poole
Pop Brixton Limited,220385.00,Combined arts,London,London,Lambeth,Dulwich and West Norwood
Pop Recs Ltd,60000.00,Combined arts,North,North East,Sunderland,Sunderland Central
Pop Up Projects CIC,85500.00,Literature,South East,East of England,Peterborough,Peterborough
Portland Productions,50000.00,Combined arts,South West,South West,"Bristol, City of",Bristol West
Princess Theatre Limited,82819.00,Theatre,South East,East of England,King's Lynn and West Norfolk,North West Norfolk
Print Room at the Coronet,240000.00,Theatre,London,London,Kensington and Chelsea,Kensington
Printers Playhouse,83672.00,Combined arts,South East,South East,Eastbourne,Eastbourne
Project Art Works,137420.00,Visual arts,South East,South East,Hastings,Hastings and Rye
Project Space Leeds,123000.00,Visual arts,North,Yorkshire and The Humber,Leeds,Leeds Central
Propaganda Promotions LTD,249857.00,Music,South West,South West,"Bristol, City of",Bristol West
Proper Job Theatre Company,64401.00,Theatre,North,Yorkshire and The Humber,Kirklees,Huddersfield
Proteus Theatre Company,51656.00,Theatre,South West,South East,Basingstoke and Deane,Basingstoke
Proud and Loud Arts,126706.00,Theatre,North,North West,Salford,Worsley and Eccles South
Puppets with GUTS,58100.00,Combined arts,South East,South East,Brighton and Hove,Hove
PW Productions Ltd,245000.00,Theatre,London,London,Westminster,Cities of London and Westminster
Pyramid of Arts,67867.00,Combined arts,North,Yorkshire and The Humber,Leeds,Leeds Central
Pyrojunkies Limited,142429.00,Not discipline specific,South East,South East,Dartford,Dartford
Quantum Creative Limited,64955.00,Not discipline specific,South East,South East,Tandridge,East Surrey
Queen's Hall Arts,147563.00,Combined arts,North,North East,Northumberland,Hexham
Queens Park Arts Centre,131000.00,Combined arts,South East,South East,Buckinghamshire,Aylesbury
R&M Productions Ltd,58000.00,Not discipline specific,North,Yorkshire and The Humber,Hambleton,Richmond (Yorks)
Radioactive Clothing Ltd,200000.00,Music,London,London,Enfield,Edmonton
Ramsgate Music Hall,78201.00,Music,South East,South East,Thanet,South Thanet
Rasheed Araeen,80000.00,Visual arts,London,London,Hackney,Hackney North and Stoke Newington
Reading Arts and Venues,989374.00,Theatre,South East,South East,Reading,Reading East
Reading Repertory Theatre,169000.00,Theatre,South East,South East,Reading,Reading East
Readipop,95000.00,Music,South East,South East,Reading,Reading East
Real Time Music Limited,62500.00,Music,Midlands,East Midlands,Chesterfield,Chesterfield
REBEL OVERLAY LIMITED,50000.00,Visual arts,London,London,Tower Hamlets,Bethnal Green and Bow
Red Rose Chain,198526.00,Theatre,South East,East of England,Ipswich,Ipswich
Redriff Ltd,146984.00,Music,North,North West,Manchester,Manchester Central
Reform Radio,89310.00,Combined arts,North,North West,Manchester,Manchester Central
Regal Entertainments Ltd,313080.00,Theatre,North,North West,St. Helens,St Helens South and Whiston
Regal Tenbury Trust Ltd,116000.00,Combined arts,Midlands,West Midlands,Malvern Hills,West Worcestershire
Regeneration NE CIC,75863.00,Visual arts,North,North East,County Durham,Easington
Reprezent,230000.00,Music,London,London,Southwark,Camberwell and Peckham
Resident Advisor,750000.00,Music,London,London,Hackney,Hackney South and Shoreditch
Revelation - St Marys Arts Trust,59012.00,Music,South East,South East,Ashford,Ashford
Rhythmtree festival limited,138000.00,Music,Midlands,West Midlands,Stratford-on-Avon,Stratford-on-Avon
Rich Mix Cultural Foundation,971833.00,Combined arts,London,London,Tower Hamlets,Bethnal Green and Bow
RIFT EXCURSIONS LTD,50000.00,Theatre,London,London,Haringey,Tottenham
Ripon Amateur Operatic Society,54339.00,Visual arts,North,Yorkshire and The Humber,Harrogate,Skipton and Ripon
Ripon Museum Trust,117500.00,Museums,North,Yorkshire and The Humber,Harrogate,Skipton and Ripon
Riverside Trust,850000.00,Combined arts,London,London,Hammersmith and Fulham,Hammersmith
The Camden Assembly,250000.00,Music,London,London,Camden,Holborn and St Pancras
RJE Music Ltd,125000.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Rocket Park Studios Limited,58359.00,Combined arts,South East,East of England,Peterborough,Peterborough
Rogue Productions Ltd.,72138.00,Theatre,London,London,Islington,Islington South and Finsbury
Rondo Trust,50000.00,Theatre,South West,South West,Bath and North East Somerset,Bath
Ropetackle Centre Trust,56850.00,Combined arts,South East,South East,Adur,East Worthing and Shoreham
Rosehill Arts Trust,207281.00,Combined arts,North,North West,Copeland,Copeland
Rosehill Youth Theatre,89397.00,Combined arts,North,North West,Copeland,Copeland
Roses Theatre Trust,248391.00,Theatre,South West,South West,Tewkesbury,Tewkesbury
Rotherham Theatres,131644.00,Combined arts,North,Yorkshire and The Humber,Rotherham,Rotherham
Rough Trade Retail (UK) Ltd,138599.00,Music,London,London,Tower Hamlets,Bethnal Green and Bow
Royal Academy of Dance,606366.00,Dance,London,London,Wandsworth,Battersea
Royal Court Liverpool Trust,729915.00,Theatre,North,North West,Liverpool,"Liverpool, Riverside"
Royal Liverpool Philharmonic,748000.00,Music,North,North West,Liverpool,"Liverpool, Riverside"
Royal Philharmonic Orchestra Ltd,996702.00,Music,London,London,Islington,Islington South and Finsbury
Rubicon Leisure,173074.00,Theatre,Midlands,West Midlands,Redditch,Redditch
Runaway Entertainment Limited,246891.00,Theatre,London,London,Westminster,Cities of London and Westminster
Rural Arts North Yorkshire,115000.00,Combined arts,North,Yorkshire and The Humber,Hambleton,Thirsk and Malton
Rural Media Charity,125000.00,Combined arts,Midlands,West Midlands,"Herefordshire, County of",Hereford and South Herefordshire
Rushmoor Borough Council - Princes Hall,166000.00,Combined arts,South West,South East,Rushmoor,Aldershot
Russell Maliphant Company,159036.00,Dance,South East,East of England,Ipswich,Ipswich
Rutland County Council,132100.00,Museums,Midlands,East Midlands,Rutland,Rutland and Melton
Ryedale Folk Museum,79900.00,Museums,North,Yorkshire and The Humber,Ryedale,Thirsk and Malton
S4E Ltd,250000.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Saffron Hall Trust,245000.00,Music,South East,East of England,Uttlesford,Saffron Walden
Sally Hogarth Ltd,50000.00,Visual arts,South East,South East,Folkestone and Hythe,Folkestone and Hythe
Salt Town Limited (Trading as The Salty Dog),80000.00,Music,North,North West,Cheshire West and Chester,Weaver Vale
Sand in your Eye Ltd,50000.00,Visual arts,North,Yorkshire and The Humber,Calderdale,Calder Valley
Sands Films Costumes Ltd,219800.00,Not discipline specific,London,London,Southwark,Bermondsey and Old Southwark
Sandy Dog Ltd,200000.00,Theatre,London,London,Tower Hamlets,Bethnal Green and Bow
Sarjan Nartan Academy UK LTD,50000.00,Dance,London,London,Barnet,Hendon
Satellite Films,62092.00,Film,North,North East,Northumberland,Hexham
SBS Audio Visual,60000.00,Not discipline specific,North,North West,Trafford,Stretford and Urmston
Scarborough Theatre Trust Ltd,247705.00,Theatre,North,Yorkshire and The Humber,Scarborough,Scarborough and Whitby
SCART,100000.00,Combined arts,Midlands,West Midlands,Birmingham,Sutton Coldfield
Secret Group,977004.00,Other/Not Known,London,London,Islington,Islington South and Finsbury
Selladoor Productions,755084.00,Theatre,London,London,Greenwich,Greenwich and Woolwich
Sensoria Festival,50000.00,Combined arts,North,Yorkshire and The Humber,Sheffield,Sheffield Central
September Publishing Ltd,50000.00,Literature,South East,South East,Tunbridge Wells,Tunbridge Wells
Serious Events Limited,229723.00,Music,London,London,Islington,Islington South and Finsbury
Servant Jazz Quarters,75000.00,Music,London,London,Hackney,Hackney North and Stoke Newington
Set it Off Limited,150000.00,Music,Midlands,East Midlands,Gedling,Gedling
Seven Arts Leeds CIC,50000.00,Combined arts,North,Yorkshire and The Humber,Leeds,Leeds North East
"Seven Stories, The National Centre for Children's Books",204000.00,Literature,North,North East,Newcastle upon Tyne,Newcastle upon Tyne East
Seventeen Gallery LLP,60000.00,Visual arts,London,London,Hackney,Hackney South and Shoreditch
Shademakers UK Carnival Club,51000.00,Combined arts,South West,South East,Isle of Wight,Isle of Wight
Shadwell Opera,60500.00,Music,London,London,Lambeth,Vauxhall
Shakespeare at the Tobacco Factory (stf),50000.00,Theatre,South West,South West,"Bristol, City of",Bristol South
Shanklin Theatre Limited,74502.00,Theatre,South West,South East,Isle of Wight,Isle of Wight
SHED London,113879.00,Visual arts,London,London,Hackney,Hackney South and Shoreditch
Sheffield Galleries & Museums Trust,500000.00,Museums,North,Yorkshire and The Humber,Sheffield,Sheffield Central
Sheringham Little Theatre,76644.00,Visual arts,South East,East of England,North Norfolk,North Norfolk
Shindig Events Ltd,100000.00,Combined arts,North,North East,North Tyneside,Tynemouth
Shires Entertainments Limited,240000.00,Combined arts,South West,South West,Stroud,Stroud
Shone Productions Ltd,173000.00,Theatre,North,North West,Knowsley,Knowsley
Shoreditch Town Hall Trust,333000.00,Theatre,London,London,Hackney,Hackney South and Shoreditch
SHOW PRODUCTIONS LTD,142551.00,Combined arts,North,Yorkshire and The Humber,East Riding of Yorkshire,Brigg and Goole
Shrewsbury Folk Festival,93118.00,Combined arts,Midlands,West Midlands,Shropshire,Shrewsbury and Atcham
Shubbak: A Window on Contemporary Arab Culture,75000.00,Not discipline specific,London,London,City of London,Cities of London and Westminster
Sidmouth FolkWeek Productions Ltd,62000.00,Music,South West,South East,Havant,Havant
